DSO Name;MGA Name;MGA Code;MGA Type;MBA;Country
Mjölby Kraftnät AB;Mjölby;MBY;DISTRIBUTION;SE3;SE
Mölndal Energi Nät AB;Mölndal;MDL;DISTRIBUTION;SE3;SE
Ellevio AB;Mora-Orsa;MOR;DISTRIBUTION;SE3;SE
Öresundskraft Elnät AB;Mörarp;MRP;DISTRIBUTION;SE4;SE
Fortum Sverige AB;Mörsil region;MRR;REGIONAL;SE2;SE
Vattenfall Eldistribution AB;Myråsen;MYN;DISTRIBUTION;SE3;SE
Vattenfall Kraftgården AB;Nämforsen region;NFO;REGIONAL;SE2;SE
Linde Energi Elnät AB;Närkes Kil;NKL;DISTRIBUTION;SE3;SE
Nässjö Affärsverk Elnät AB;Nässjö;NSO;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Nerike Lokal;NRL;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Nissafors;NSF;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Nora Region;NRR;REGIONAL;SE3;SE
Vattenfall Eldistribution AB;Norberg;NOB;DISTRIBUTION;SE3;SE
Svenska kraftnät;NordBalt;PLT;BORDER;SE4;SE
Öresundskraft Elnät AB;Nordvästra Skåne;NVS;DISTRIBUTION;SE4;SE
Vattenfall Eldistribution AB;Norrbotten region;VFN;REGIONAL;SE1;SE
E.ON Energidistribution AB;Norrköping Region;NKR;REGIONAL;SE3;SE
Norrtälje Energi AB;Norrtälje;NTE;DISTRIBUTION;SE3;SE
Nossebroortens Energi Ekonomisk Förening;Nossebro;NSB;DISTRIBUTION;SE3;SE
Nybro Elnät AB;Nybro;NBR;DISTRIBUTION;SE4;SE
Vattenfall Eldistribution AB;Nyköping;NYK;DISTRIBUTION;SE3;SE
Vattenfall Eldistribution AB;Nyköping Landsbygd;NYD;DISTRIBUTION;SE3;SE
Ellevio AB;Nynäshamn;NHN;DISTRIBUTION;SE3;SE
Ellevio AB;Ockelbo;OBO;DISTRIBUTION;SE2;SE
Ellevio AB;Öckerö;OCK;DISTRIBUTION;SE3;SE
E.ON Energidistribution AB;Öland;OLD;DISTRIBUTION;SE4;SE
Olofströms Kraft Nät AB;Olofström;OLS;DISTRIBUTION;SE4;SE
Olseröds Elektriska Distributionsförening;Olseröd;OSD;DISTRIBUTION;SE4;SE
Övik Energi Nät AB;Örnsköldsvik;OVK;DISTRIBUTION;SE2;SE
Ellevio AB;Orust-Tjörn;ORT;DISTRIBUTION;SE3;SE
Västra Orusts Energitjänst ek. för.;Orust Västra;ORV;DISTRIBUTION;SE3;SE
Oskarshamn Energi Nät AB;Oskarshamn tätort;OHN;DISTRIBUTION;SE4;SE
