Status,Aktör,SvK Id,Ediel Id,EIC,Roll,Adress
Godkänd,Härnösand Elnät AB,155,22600,46X000000000275B,Nätägare,"Box 304, 87126 HÄRNÖSAND"
Godkänd,Härjeåns Nät AB,027,43600,46X000000000274D,Nätägare,"Box 72, 84121 ÅNGE"
Under test,Holmen Energi Elnät AB,649,64920,46X000000000273F,Nätägare,"c/o Holmen Energi, 891 80 Örnsköldsvik"
Godkänd,Hjärtums Elförening ek för,279,21800,46X0000000003595,Nätägare,"Sannersby 115, 46392 LILLA EDET"
Godkänd,Hjo Elnät AB,050,21700,46X000000000219L,Nätägare,"Box 66, 54421 HJO"
Godkänd,Herrljunga Elnät AB,049,21600,46X000000000218N,Nätägare,"Mariedalsgatan 3, 52431 HERRLJUNGA"
Godkänd,Hedemora Energi AB,095,21400,46X0000000003587,Nätägare,"Ivarshyttevägen 2, 77633 HEDEMORA"
Godkänd,Havsnäs Vindkraft Elnät AB,520,52000,46X000000000271J,Nätägare,"c/o Vasa Vind AB, Garvis Carlssons Gata 5, 16941 Solna"
Godkänd,Halmstads Energi och Miljö Nät AB,094,21200,46X000000000270L,Nätägare,"Box 31, 30102 HALMSTAD"
Godkänd,Hallstaviks Elverk ek för,193,21100,46X0000000003579,Nätägare,"Lundåsvägen 6, 76330 HALLSTAVIK"
Godkänd,Habo Energi Kraft AB,233,46300,46X0000000002696,Nätägare,"Box 202, 56624 HABO"
Godkänd,Götene Elförening ek för,068,20600,46X000000000356B,Nätägare,"Box 81, 53321 GÖTENE"
Godkänd,Göteborg Energi Nät AB,092,20500,46X0000000002688,Nätägare, ESP,"Box 53, 40120 GÖTEBORG"
Godkänd,Gävle Energi Elnät AB,030,20400,46X000000000217P,Nätägare,"Box 783, 80129 GÄVLE"
Godkänd,Grästorp Energi ek för,291,20300,46X000000000355D,Nätägare, ESP,"Plogvägen 5, 467 30 GRÄSTORP"
Godkänd,Gotlands Elnät AB,220,11220,46X000000000267A,Nätägare,"Box 1095, 621 21 VISBY"
Godkänd,Gislaved Energi Elnät AB,048,19900,46X000000000266C,Nätägare, ESP,"Box 181, 33224 GISLAVED"
Godkänd,Gabrielsberget Net AB,522,52200,46X000000000265E,Nätägare,"Norra Obbolavägen 115, 904 22 UMEÅ"
Under test,Fortum Sverige AB,BKB,40900,46X000000000018V,Nätägare, Leverantör, Balansansvarig part (BRP), ESP, Leverantör av balanstjänster (BSP),"Rättarvägen 3, 169 68 SOLNA"
Godkänd,Filipstad Energinät AB,067,39900,46X000000000264G,Nätägare, ESP,"Box 150, 68224 FILIPSTAD"
Godkänd,Falu Elnät AB,089,19200,46X000000000263I,Nätägare, ESP,"Box 213, 79125 FALUN"
Godkänd,Falkenberg Energi Elnät AB,152,39700,46X000000000216R,Nätägare,", 31180 FALKENBERG"
Godkänd,Falbygdens Energi Nät AB,229,39600,46X000000000262K,Nätägare, ESP,"Box 684, 52121 FALKÖPING"
Godkänd,Eskilstuna Energi & Miljö Elnät AB,029,19800,46X000000000261M,Nätägare, ESP,"Kungsgatan 86, 63186 ESKILSTUNA"
Godkänd,Emmaboda Elnät AB,227,19500,46X000000000260O,Nätägare,"Box 53, 36121 EMMABODA"
Godkänd,Ellevio AB,006,14900,46X000000000209O,Nätägare,", 11533 STOCKHOLM"
Godkänd,Eksjö Elnät AB,151,19400,46X0000000002599,Nätägare, ESP,"Telegatan 8, 57580 EKSJÖ"
Godkänd,E.ON Energidistribution AB,017,16000,46X000000000019T,Nätägare, ESP,"Carl Gustafs väg 1, 20509 MALMÖ"
Inte godkänd,Dummy Systemleverantör,,91999,,Nätägare, Leverantör, Balansansvarig part (BRP), Systemleverantör,"Box 1200, 172 24 SUNDBYBERG"
Godkänd,Dragaliden Net AB,MBN,52100,46X000000000258B,Nätägare,"Umestan Företagspark, 903 47 Umeå"
Godkänd,Degerfors Elnät AB,066,18900,46X000000000154N,Nätägare,"Box 1, 69321 DEGERFORS"
Godkänd,Dala Energi Elnät AB,103,25800,46X000000000257D,Nätägare, Ombud, ESP,"Box 254, 79326 LEKSAND"
Godkänd,Carlfors Bruk KB,206,45800,46X000000000354F,Nätägare,"Box 2077, 56102 HUSKVARNA"
Godkänd,C4 Elnät AB,087,24800,46X000000000256F,Nätägare,"Box 2105, 29102 KRISTIANSTAD"
Godkänd,Brännliden Nät AB,395,15700,46X000000000255H,Nätägare,"c/o OX2, Box 2299, 103 17 Stockholm"
Godkänd,Bromölla Energi och Vatten AB,225,18800,46X000000000353H,Nätägare,"Storgatan 40, 29531 BROMÖLLA"
Godkänd,Brobacken Nät AB,593,65930,46X000000000254J,Nätägare,"Box 2299, 103 17 Stockholm"
Godkänd,Brittedals Elnät ek för,275,18700,46X000000000253L,Nätägare,"Östra Järnvägsgatan 15, 28023 HÄSTVEDA"
Godkänd,Borlänge Energi Elnät, AB,184,18400,46X000000000252N,Nätägare, ESP,"Box 834, 78128 BORLÄNGE"
Godkänd,Borgholm Energi Elnät AB,223,18200,46X000000000251P,Nätägare,"Box 55, 38721 BORGHOLM"
Godkänd,Boo Energi ek för,222,18100,46X000000000353H,Nätägare,"Box 103, 13223 SALTSJÖ-BOO"
Godkänd,Bodens Energi Nät AB,085,17900,46X000000000250R,Nätägare, ESP,"Slipvägen 7, 96138 BODEN"
Godkänd,Boda Nät ek för,383,18300,46X000000000351L,Nätägare,"Bruksgatan 1, 54430 Hjo"
Godkänd,Blåsjön Nät AB,003,14500,46X000000000249C,Nätägare,"C/O Infram Sweden AB, 111 34 STOCKHOLM"
Godkänd,Bliekevare Nät AB,517,51700,46X000000000248E,Nätägare,"c/o Rabbalshede Kraft AB; Marknadsvägen 1, 45755 Rabbalshede"
Godkänd,Bjärke Energi ek för,277,17700,46X000000000350N,Nätägare,"Energigatan 3, 441 74 SOLLEBRUNN"
Godkänd,Bjäre Kraft Elnät AB,276,17600,46X000000000215T,Nätägare, Ombud, ESP,"Box 1054, 26921 BÅSTAD"
Godkänd,Billerud Skog & Industri AB,053,44300,46X0000000003498,Nätägare,", 80181 GÄVLE"
Godkänd,Bergs Tingslags Elektriska AB,043,17400,46X000000000348A,Nätägare,"Olstavägen 26, 845 51 Åsarna"
Godkänd,Bengtsfors Energi Nät AB,039,17300,46X000000000247G,Nätägare, ESP,"Industrigatan 10, 66631 BENGTSFORS"
Inte godkänd,Baltic Cable AB,513,51300,14XBALTICCABLE-L,Nätägare,"Gustav Adolfs Torg 47, 21139 Malmö"
Godkänd,Arvika Elnät AB,148,17000,46X000000000214V,Nätägare,"Box 945, 67129 ARVIKA"
Godkänd,Arise Elnät AB,518,51800,46X0000000003668,Nätägare,"Linjegatan 7, 302 50 HALMSTAD"
Godkänd,Alvesta Elnät AB,147,16900,46X000000000246I,Nätägare,"c/o Alvesta Kommun, 342 80 ALVESTA"
Godkänd,Almnäs Elnät AB,037,16800,46X000000000213X,Nätägare,", 54494 HJO"
Godkänd,Alingsås Energi Elnät AB,084,16700,46X000000000212Z,Nätägare,"Södra Strömgatan 6, 44181 ALINGSÅS"
Godkänd,Ale El Elnät AB,146,16600,46X0000000002110,Nätägare,"Box 3004, 44914 ALAFORS"
Godkänd,Affärsverken Elnät i Karlskrona AB,160,24200,46X000000000245K,Nätägare,"Box 530, 37123 KARLSKRONA"
